"audience-reviews__name","audience-reviews__duration","audience-reviews__review"
"Brayden H.","Sep 30, 2025","This movie absolutely out did superheroes in such a great lighting compared to the recent years. The entire movie is so much fun. CGI is amazing and It doesn’t clash with any of the costumes. It was probably the best superhero movie I’ve seen in a long time. David cornswet was a perfect cast for Superman the way he portrayed his emotions It really made me care for Superman."
"Jason F","Sep 30, 2025","Not sure what these top reviews watched. This was a complete flop. Green lantern was a dumpy guy??  Awful trash."
"Joe W","Sep 30, 2025","I'll qualify myself. I am a classic superman fan. The ones with Christopher Reeve are my favorite. Simple. Banter between Lois and Clark not knowing who he is mostly, but the tease. A bad guy, usually Lex Luthor or someone like him. Good vs. Bad. I liked to 2006 one also with Brandon Routh. Same premise. 
This new one ruined the dynamic of Lois and Clark as he was already exposed to her as superman. I hated that. And then it became insanely cluttered with other superheros and otherworldly villians and alternate universes and stuff that just didn't belong in a superman movie. 
If I wasn't there with someone else I would have left before it ended. Afterwards she said the same thing to me. If the trailer for the next one looks anything like this one, I'm out."
"Mitch B","Sep 30, 2025","I loved this movie. It was fun and action packed and who hasn't wanted to see Superman fight a Godzilla like monster on the big screen.  I loved the retro feel to it and the fact that it had the feel of an episode of a television show. Lois Lane and Lex Luthor were also highlights for me.  While not perfect, and I felt it could have done better with the Kents and there was sometimes way too much shouting, I felt this movie  was a blast.  An A-."
"Gabriel S","Sep 30, 2025","This movie was so poorly written I cannot explain to you how unbearable it was to watch."
"James R","Sep 30, 2025","Honestly I don't know how so many people enjoyed this movie. While watching it I was extremely frustrated with how pathetic and weak they made Superman. The concept or the plot line could have been great if it took a different path. But definitely a very big letdown."
"Wa C","Sep 30, 2025","Really did not enjoy this film. Including Krypto was annoying. Completely mischaracterized Kal-el parents. No onscreen chemistry between the David and Rachel. Nonsensical subplot with Jimmy Olson.

Usually James Gunn films are at least passable, but this is almost the worst Superman film I’ve ever watched."
"Hayden S","Sep 30, 2025","Superman has an interesting premise and a stellar performance from Edi Gathegi, but Superman himself is a blah in this disjointed Reboot."
"Chaise H","Sep 30, 2025","Worst movie I've ever watched. ""Man of Steel"" remains my favorite, by a mile."
"Jarrett B","Sep 30, 2025","How??? Just how did anyone enjoy this atrocious adaptation of the greatest DC hero. Ultimate fail."
"Mike M","Sep 30, 2025","This movies was horrible geared more towards the younger fan maybe no real story line way too much CGI and they took way too many Liberties with the Superman character and his background."
"M A","Sep 30, 2025","Horrible movie! I don’t ever give reviews, but this was a truly a huge disappointment. Cast and storyline terrible. Horrible Superman and Green Lantern especially. I don’t understand how this movie is a success and I like James Gunn movies, but definitely not this one. I understood how some people didn’t like everything about Snyders look and take, but this was a huge step backwards. Henry Cavill is by far the better Superman."
"Byron K","Sep 29, 2025","Honestly, James Gun knows how to bring fun back to movies.  You would think with bigger budgets he would be more cautious, thank the movies gods that he is allowed some freedom to make film that still have the DIY film making roots to them.  Great story, great casting, so much fun to watch."
"Emil G","Sep 29, 2025","This movie is just dumb. Waste od time compared to man of steel. Cheap jokes, cheap villains, poor script writing."
"JB","Sep 29, 2025","The worst Superman and action hero movie. I was disappointed in the portrayal of all the characters. It was dumb."
"Will","Sep 29, 2025","Not bad. Not great but it is a GOOD start up for this version of Supes."
"Alexander G","Sep 29, 2025","Horrible writing. No real story, characters with zero depth or meaningful backstories, no emotions. The physics are laughably bad, and the humans act like NPCs — just hanging out (instead of running away) while Superman fights a giant monster. And then the whole world turns against the man who’s protected them his entire life after watching one video? Really? That’s just lazy writing. What you get is a collection of random scenes, convenient storytelling, and flashy CGI with jokes tossed in for no reason. At times, it feels more like an SNL skit or a parody. And sure, make Superman more “human,” but don’t turn him into a Super Baby with the emotional maturity of a five-year-old."
"Mark D","Sep 29, 2025","I almost turned it off after the first 10 minutes, forced myself to watch the rest and I wish I hadn't.  Bad acting, bad cgi, terrible casting."
"Vojin P","Sep 29, 2025","Offensive and lazy. Using a fake name for a country and then using a real language Serbo Croatian for the president of it is just unacceptable. Things like this should get movies like this banned and canceled."
"Gregory E.","Sep 29, 2025","“Superman (2025)” — ★★★★☆

If you’re looking for a superhero film that balances spectacle with heart, this new Superman delivers. Lex Luthor (played by Nicholas Hoult) is suitably menacing and clever — not just a mustache-twirling villain, but a real threat to Clark’s world. Superman (David Corenswet) feels both powerful and vulnerable, making his journey engaging without becoming predictable.

The action sequences are solid — the ice crystal / robot battles had real visual flair — and Krypto steals scenes (in both goofy and savage ways). The humor lands more often than not, and the moments between characters (especially Clark and Lois) give the film emotional weight. Some pacing issues creep in toward the finale, and there’s a lot to juggle with supporting characters, but overall it’s a refreshing, fun reboot that honors the myth and feels worthy of the cape.

Score: 86% fresh (estimated) — a strong showing that suggests this new “Man of Tomorrow” era is off to a compelling start."
"Eric R","Sep 29, 2025","This felt like I was watching a sequel after skipping the first movie. The storyline relied on the hope that everyone watching was a devout DC comic fan. The direction and cinematography was amazing, but the storyline just skimmed through without delving deep into anything. It had some great moments which brought it to a good movie overall."
"BlckNMild","Sep 29, 2025","A new take on a classic and it hits. A1 Steak Sauce"
"Cheryl M","Sep 29, 2025","I watched Superman it was ok, the writing and story plot was barely average. The new Superman David Corenswet is good, I could get behind him. He will be a good future ongoing Superman."
"Rick P","Sep 29, 2025","Sorry, gave it a chance. Respect to eveyone involved with creating it, but it just does not work. Story is awful"
"Robert R","Sep 29, 2025","I really had a problem figuring out what they were going for. Tone kept shifting from trying to be funny to trying to be serious. I love Rachel Brosnahan but it really just felt like she was playing Ms. Maisel still."
"Brett H.","Sep 29, 2025","Overall I thought it was very entertaining.  Wish I’d have seen it in the theater."
"Brielle T.","Sep 29, 2025","This movie is pretty much perfection as far as I’m concerned. Characters are just how I imagined them to be, and the director somehow managed to make this movie feel like a Christopher Reeves Superman movie and a modern day action movie at the same time (I give most of the Christopher Reeves movie likeness credit to Lex. His actor made the character feel so evil that he was on the verge of being campy at times, and I mean that in a good way).

I do have one minor gripe with it that knocks it down half a star, but it’s only because I’m incredibly detail oriented and wanted a specific thing out of the story that would’ve made Clark’s character, in my opinion, better. But an action packed plot can’t deliver on everything, especially a little detail that happens during the climax. And, if you blink, you’ll miss it, so I won’t badger it too hard. Yeah. It’s a good movie. Which, at this point, probably comes at no shock to you. I’m looking forward to the sequel."
"Neagu M","Sep 29, 2025","Useless most boring superman movie i've seen. No substance no plot, trying to be funny with lame jokes( the scene with krypto and lex cmon)"
"Onetha W","Sep 29, 2025","absolutely incredible movie. James Gunn saved DC"
"Douglas H","Sep 29, 2025","I really wanted this to be a success. I grew up watching Christopher Reeve and the Superman original movies, which set a clear benchmark, but I've loved all the superman movies since with Brandon Routh and of course Henry Cavill.... until this one came along. I don't normally write movie reviews, but I felt compelled to in this instance, because it was just such a monumental disappointment and it delivered the worse possible attribute of any movie - a complete lack of emotion. I felt no joy, no sadness, no thrill - it was the most forgettable and emotionless superhero movie that I've ever watched. I didn't bond with any of the characters - there were too many of them and none of them had any real back story, so I was completely detached from all of them. Gunn is known for bringing fun and humour to his movies, which worked wonderfully well in the Marvel franchise, but failed miserably here. The script was awful and some of the characters just lacked any substance whatsoever - like Clark's parents or Hawkgirl, for example. The whole movie was just a 2 hour forgettable mess. And the notion that Superman was saving bloody squirrels and dogs whilst entire cities were being devastated with no human fatalities was just utter nonsense that is quite frankly insulting the intelligence of its audience. I know everyone reading this is thinking I'm a Snyderfan and just want him back. I don't - but honestly, ANYONE else would be better than Gunn. Please don't let him make any more Superman movies."
"CyBT 1","Sep 29, 2025","This movie genuinely made me feel like a kid again! I missed the magical feeling when I first watched the Christopher reeve movies and this film made me tear up a little bit when it ended! Call it nostalgia I don't care this movie is amazing definitely going to watch it again great job! SUPERMAN IS BACK!!!!!!!"
"Mia A.","Sep 29, 2025","Loved it. Sometimes DC can be dark, and that’s good when it’s meant to be. Man of steal had its own individuality to it. However this movie captures the young and vibrant feeling that comes with being first introduced to the Superman comics. Captures his own characters trials while still embodying the seriousness of the story. Enjoyed the humor, color and overall story telling. Not everything is perfect. But not everything needs to be."
"Dillon C","Sep 29, 2025","favorite of the year, DC is back"
"Linda H","Sep 29, 2025","One of the best movies I've seen and certainly the best Superman movie. David brings exactly what I've always wanted to see from Superman to the big screen. Batman has always been my favorite superhero due to his unwavering commitment to his beliefs and acting on what he knows is right. His compassion, kindness, morals, dignity, and ability to give even the worst of society fairness is more superhuman then most superheros. David brings this aspect back to Superman. Those were all true things for the Superman I knew growing up. It was nostalgic, and unbelievably touching. This movie makes me want to be a better person. I cried, laughed, gasped, and had a big goofy smile across my face several times. I will cherish all the warm and fuzzies I got watching this for the first time. I will cherish this Superman forever. David is Superman, the real Superman. The casting was incredible for this, I'm still in absolute awe. Its an emotional roller-coaster and the music is absolutely beautiful. The song that plays as he's rising from the dust of smashed building gave me chills. My favorite scene was absolutely the part where he was sitting outside talking with his dad. Also the scene where he was laid down on his childhood bed as his parents comforted him, there something so sweet about it. 
“I’m as human as anyone. I love, I get scared. I wake up every morning and despite not knowing what to do, l put one foot in front of the other and I try to make the best choices I can. I screw up all the time, but that is being human. And that’s my greatest strength.” - Superman"
"Spencer S","Sep 29, 2025","Truly the worst video I have ever seen. SUPERMAN (who is strong enough to bench press the weight of entire universes) was incredibly useless. He only saved a squirrel and 1 woman the entire movie. all of humanity (AND HIMSELF?!?!) believed a doctored video from the bad guy even though he has been saving humanity his whole life. horrible writing, not true to super man whatsoever, and zero justice for the bad guys. deplorable, truly. I hate whoever wrote this."
"Robert R.","Sep 29, 2025","Terrible. Egotistical heros with no resemblance to the actual heros. Just plain stupid."
"Kent M.","Sep 29, 2025","Worst Superman movie I’ve ever watched. One hour and a half hours into this mess and Superman is getting his beat in every way possible. And please James Gunn, stop trying to be funny. Just don’t think anyone has a good super hero movie in them. Please Stop!!"
"Li C.","Sep 29, 2025","Fun, light-hearted, unintentionally political but well meaning overall. Fits in line with Marvels current obsession with stuffing as much characters as possible, plus their interest in multi-dimensions. It’s something we’ve seen many times before but not with DC, so that was unique - for better or for worse. The main leads were likable."
"Julius R","Sep 28, 2025","Just didn't feel it maybe the actor who plays super man he just looks plain goofy looking can't take his face serious  ,but all around good movie"
"xavier g","Sep 28, 2025","This movie really suck worst superman ever"
"Win N","Sep 28, 2025","Fantastic movie with a real hero that has a big heart."
"S W","Sep 28, 2025","Not good, I didn’t even finish it."
"Kamil J","Sep 28, 2025","The era of superhero movies is well over.
I will get into heavy spoilers so be warned:

1. This has to be the dumbest Lex Luthor version I have seen. The whole plot is happening because he wants to create a country Luthoria and Superman is in his way...
2. He controls Superman's clone by screaming commands through a radio while the clone is fighting Superman. Commands like: 3B!!!! 1A!!!! And then clone executes those commands as ...special moves which Superman somehow can't keep up with.
3. Somehow Krypto is unable to follow a single command, joke that is funny first 2 times and gets sooooo overused that by the end it's more fun to watch paint dry.

And that's just few gripes...I'm not going to list them all here. I wasted 2h of my life on this...not gonna waste more.

It is commandable that they tried to make Superman more...light hearted...colorful...but what they should have focused on was good plot...and that was completly skipped."
